Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
2.219485563,7:57:07 AM,2017,10,18,-8.314024,115.436833,-6129,11.59766926
2.469315551,7:59:34 AM,2017,10,18,-8.276187,115.445133,-10900,18.10570078
1.891400654,8:13:45 AM,2017,10,18,-8.283921,115.466382,-5871,2.001951406
1.754630962,8:14:34 AM,2017,10,18,-8.315447,115.424902,-4820,3.442473398
2.688285643,8:17:18 AM,2017,10,18,-8.288638,115.447314,-12275,34.9203169
2.803082837,8:21:18 AM,2017,10,18,-8.291088,115.449105,-12895,25.34411464
1.88366183,8:27:04 AM,2017,10,18,-8.304959,115.418921,-10068,2.479328198
1.532754848,8:36:51 AM,2017,10,18,-8.306035,115.449544,-8991,2.401759965
1.515988513,8:37:51 AM,2017,10,18,-8.333623,115.394246,-2377,2.455407583
2.02990408,8:38:20 AM,2017,10,18,-8.333415,115.397917,-4773,4.384819797
2.088669956,8:38:52 AM,2017,10,18,-8.306837,115.447941,-9536,4.041015196
1.762258982,8:41:34 AM,2017,10,18,-8.283914,115.493612,-767,6.600205926
2.371147951,8:47:34 AM,2017,10,18,-8.272984,115.402962,-11057,14.76265647
1.832488371,8:51:26 AM,2017,10,18,-8.337142,115.395801,-3000,8.129950052
1.18978734,8:52:05 AM,2017,10,18,-8.283529,115.49244,-861,2.615690318
1.501400174,8:52:31 AM,2017,10,18,-8.344218,115.416886,-1082,3.580494838
1.503032059,8:56:10 AM,2017,10,18,-8.343097,115.417969,-1337,3.361278717
1.72593827,9:14:43 AM,2017,10,18,-8.305768,115.471859,-10390,3.433909861
1.871130131,9:15:31 AM,2017,10,18,-8.315836,115.483049,-8437,3.531175538
1.769083027,9:18:38 AM,2017,10,18,-8.327775,115.41154,-4397,3.497511028
1.869311184,9:23:21 AM,2017,10,18,-8.329181,115.402279,-4563,3.590960632
1.890892315,9:27:12 AM,2017,10,18,-8.329721,115.398283,-6073,4.607305118
1.54561441,9:34:41 AM,2017,10,18,-8.275059,115.443018,-6813,2.653449226
1.717189396,10:03:28 AM,2017,10,18,-8.339787,115.393945,-2123,7.042501102
2.0326676,10:04:08 AM,2017,10,18,-8.324783,115.401009,-5826,10.69496082
1.809397331,10:06:22 AM,2017,10,18,-8.32298,115.393026,-4992,4.275310606
1.745584694,10:13:18 AM,2017,10,18,-8.283735,115.479614,-8797,2.262480166
2.093145086,10:19:09 AM,2017,10,18,-8.28704,115.446436,-10980,2.795193871
1.441530798,10:22:52 AM,2017,10,18,-8.332075,115.394474,-4055,2.033704552
2.643508185,10:26:14 AM,2017,10,18,-8.289576,115.455184,-11956,46.61635525
1.480833951,10:28:14 AM,2017,10,18,-8.334712,115.403662,-2248,3.391208999
1.51882674,10:36:57 AM,2017,10,18,-8.291817,115.486564,-896,2.895357722
1.396669095,10:38:01 AM,2017,10,18,-8.341417,115.433919,-1070,3.200192963
2.194565644,10:41:27 AM,2017,10,18,-8.285385,115.435872,-7908,18.10231769
2.250723655,10:42:42 AM,2017,10,18,-8.328781,115.400814,-4171,21.61701129
1.788319776,10:44:30 AM,2017,10,18,-8.297412,115.403792,-5823,2.973223242
1.52940774,10:50:31 AM,2017,10,18,-8.317362,115.419938,-5596,2.524222801
1.950958086,10:59:39 AM,2017,10,18,-8.331271,115.399967,-3292,9.067433467
1.532861743,11:03:21 AM,2017,10,18,-8.339616,115.399471,-1927,3.523348375
1.942097966,11:03:52 AM,2017,10,18,-8.307137,115.448966,-9483,4.513063491
1.725220821,11:05:03 AM,2017,10,18,-8.278933,115.471777,-4391,4.139796156
2.070936482,11:06:18 AM,2017,10,18,-8.304569,115.431274,-8662,4.060094068
1.95725697,11:08:37 AM,2017,10,18,-8.328687,115.399984,-3732,7.782577168
1.920279743,11:24:34 AM,2017,10,18,-8.306548,115.466675,-10599,5.142580777
1.586579586,11:42:01 AM,2017,10,18,-8.335316,115.397323,-2267,3.305738744
1.772079896,11:45:05 AM,2017,10,18,-8.307648,115.458952,-11514,2.555996208
